variable,variable_dane,fuente,etiqueta_dane,tipo_dane,formato_dane,ancho_dane,categorias_dane,tipo_en_geih2018_tipado,n_na,n_valores_unicos,minimo,maximo,tipo_recomendado_R,observaciones
imdi,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,31752,105,0.0,14000000.0,integer (cantidad entera),
iof1,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,double,4888,64,0.0,33333333.3333333,double (cantidad),
iof2,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,4888,266,0.0,24000000.0,integer (cantidad entera),
iof3h,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,double,4888,191,0.0,10000000.0,double (cantidad),
iof3i,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,double,4888,97,0.0,600000.0,double (cantidad),
iof6,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,4888,138,0.0,20000000.0,integer (cantidad entera),
cclasnr2,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,30718,1,1.0,1.0,integer 0/1 (bandera de imputación DANE),
cclasnr3,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,32111,1,1.0,1.0,integer 0/1 (bandera de imputación DANE),
cclasnr4,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,31903,1,1.0,1.0,integer 0/1 (bandera de imputación DANE),
cclasnr5,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,32141,1,1.0,1.0,integer 0/1 (bandera de imputación DANE),
cclasnr6,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,31924,1,1.0,1.0,integer 0/1 (bandera de imputación DANE),
cclasnr7,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,31891,1,1.0,1.0,integer 0/1 (bandera de imputación DANE),
cclasnr8,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,31844,1,1.0,1.0,integer 0/1 (bandera de imputación DANE),
cclasnr11,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,31998,1,1.0,1.0,integer 0/1 (bandera de imputación DANE),
impaes,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,30694,549,15000.0,50000000.0,integer (cantidad entera),
isaes,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,32111,36,6000.0,8000000.0,integer (cantidad entera),
iees,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,31901,77,20000.0,3000000.0,integer (cantidad entera),
imdies,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,32141,25,30000.0,2000000.0,integer (cantidad entera),
iof1es,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,31923,71,83.0,8333333.0,integer (cantidad entera),
iof2es,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,31890,109,706000.0,13200000.0,integer (cantidad entera),
iof3hes,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,31851,78,8333.0,9600000.0,integer (cantidad entera),
iof3ies,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,32145,21,12500.0,516667.0,integer (cantidad entera),
iof6es,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,31998,48,50000.0,8000000.0,integer (cantidad entera),
ingtotob,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,double,4888,4676,0.0,85833333.3333333,double (cantidad),
ingtotes,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,integer,29497,785,83.0,50000000.0,integer (cantidad entera),
ingtot,,"DANE (módulo de ingresos, pobreza monetaria)",,,,,,double,4888,5355,0.0,85833333.3333333,double (cantidad),
fex_c,,Curso (construida por M. Fernández),,,,,,double,0,3536,106.612617426093,808.241451693803,double (ponderador),suma 8.164.164 ≈ población de Bogotá 2018: es fex_c_2011/12 (anualizado)
depto,DPTO,DANE (pregunta/variable de la GEIH),Departamento,Discreta,Carácter,2,"05=Antioquia; 08=Atlántico; 11=Bogotá, d.C.; 13=Bolívar; 17=Caldas; 23=Córdoba; 50=Meta; 52=Nariño; 54=Norte de santander; 66=Risaralda; 68=Santander; 73=Tolima; 76=Valle del cauca",integer,0,1,11.0,11.0,integer constante (no usar),
fex_dpto,,DANE (diseño muestral / identificación),,,,,,double,0,3536,106.612617426093,808.241451693803,double (ponderador),
fweight,,DANE (diseño muestral / identificación),,,,,,integer,0,409,107.0,808.0,integer (ponderador redondeado),
maxEducLevel,,Curso (construida por M. Fernández),,,,,,integer,3569,7,1.0,7.0,factor (categórica; 9 = NA),
college,,Curso (construida por M. Fernández),,,,,,integer,0,2,0.0,1.0,integer 0/1 (dummy),"MAL CONSTRUIDA: vale 1 cuando maxEducLevel = 6 (media/secundaria completa), no terciaria"
regSalud,,Curso (construida por M. Fernández),,,,,,integer,7507,3,1.0,3.0,factor (categórica; 9 = NA),
cotPension,,Curso (construida por M. Fernández),,,,,,integer,15514,3,1.0,3.0,factor (categórica; 9 = NA),
wap,,Curso (construida por M. Fernández),,,,,,integer,0,2,0.0,1.0,integer 0/1 (dummy),
ocu,OCI,DANE (pregunta/variable de la GEIH),Población ocupada,Discreta,Numérico,1,1=Población ocupada,integer,0,2,0.0,1.0,integer 0/1 (dummy),OCI del DANE (1/NA) convertida a 0/1
dsi,DSI,DANE (pregunta/variable de la GEIH),Desocupados,Discreta,Numérico,1,1=Desocupados,integer,0,2,0.0,1.0,integer 0/1 (dummy),DSI del DANE (1/NA) convertida a 0/1
pea,,Curso (construida por M. Fernández),,,,,,integer,0,2,0.0,1.0,integer 0/1 (dummy),
inac,,Curso (construida por M. Fernández),,,,,,integer,0,2,0.0,1.0,integer 0/1 (dummy),
totalHoursWorked,,Curso (construida por M. Fernández),,,,,,integer,15495,112,1.0,130.0,integer (cantidad entera),"= hoursWorkUsual (p6800, horas usuales) + hoursWorkActualSecondJob (p7045) en las 16.682 filas; no usa p6850 (horas efectivas)"
formal,,Curso (construida por M. Fernández),,,,,,integer,15495,2,0.0,1.0,integer 0/1 (dummy),
informal,,Curso (construida por M. Fernández),,,,,,integer,15495,2,0.0,1.0,integer 0/1 (dummy),
cuentaPropia,,Curso (construida por M. Fernández),,,,,,integer,0,2,0.0,1.0,integer 0/1 (dummy),
microEmpresa,,Curso (construida por M. Fernández),,,,,,integer,15495,2,0.0,1.0,integer 0/1 (dummy),
sizeFirm,,Curso (construida por M. Fernández),,,,,,integer,15495,5,1.0,5.0,factor (categórica),
y_salary_m,,Curso (construida por M. Fernández),,,,,,integer,22213,660,10000.0,34000000.0,integer (cantidad entera),
y_salary_m_hu,,Curso (construida por M. Fernández),,,,,,double,22213,1390,48.6111106872559,291666.65625,double (cantidad),
y_ingLab_m,,Curso (construida por M. Fernández),,,,,,double,22213,3700,10000.0,60100000.0,double (cantidad),
y_horasExtras_m,,Curso (construida por M. Fernández),,,,,,integer,31282,91,0.0,2000000.0,integer (cantidad entera),
y_especie_m,,Curso (construida por M. Fernández),,,,,,integer,30850,125,0.0,1000000.0,integer (cantidad entera),
y_vivienda_m,,Curso (construida por M. Fernández),,,,,,integer,32073,20,0.0,6000000.0,integer (cantidad entera),
y_otros_m,,Curso (construida por M. Fernández),,,,,,integer,32046,47,0.0,4500000.0,integer (cantidad entera),
y_auxilioAliment_m,,Curso (construida por M. Fernández),,,,,,integer,31770,82,0.0,1428000.0,integer (cantidad entera),
y_auxilioTransp_m,,Curso (construida por M. Fernández),,,,,,integer,26706,117,0.0,3000000.0,integer (cantidad entera),
y_subFamiliar_m,,Curso (construida por M. Fernández),,,,,,integer,29876,139,0.0,940000.0,integer (cantidad entera),
y_subEducativo_m,,Curso (construida por M. Fernández),,,,,,integer,32139,26,0.0,2700000.0,integer (cantidad entera),
y_primas_m,,Curso (construida por M. Fernández),,,,,,integer,32082,43,0.0,3500000.0,integer (cantidad entera),
y_bonificaciones_m,,Curso (construida por M. Fernández),,,,,,integer,31811,78,0.0,47200000.0,integer (cantidad entera),
y_primaServicios_m,,Curso (construida por M. Fernández),,,,,,integer,24970,400,0.0,56000000.0,integer (cantidad entera),
y_primaNavidad_m,,Curso (construida por M. Fernández),,,,,,integer,31572,98,0.0,36500000.0,integer (cantidad entera),
y_primaVacaciones_m,,Curso (construida por M. Fernández),,,,,,integer,31598,78,0.0,77000000.0,integer (cantidad entera),
y_viaticos_m,,Curso (construida por M. Fernández),,,,,,integer,31778,89,0.0,130000000.0,integer (cantidad entera),
y_accidentes_m,,Curso (construida por M. Fernández),,,,,,integer,32142,19,0.0,3125000.0,integer (cantidad entera),
y_salarySec_m,,Curso (construida por M. Fernández),,,,,,integer,31716,89,6000.0,10000000.0,integer (cantidad entera),
y_ingLab_m_ha,,Curso (construida por M. Fernández),,,,,,double,22213,5049,48.6111106872559,350583.34375,double (cantidad),
y_gananciaNeta_m,,Curso (construida por M. Fernández),,,,,,double,27273,237,84.0,70000000.0,double (cantidad),
y_gananciaNetaAgro_m,,Curso (construida por M. Fernández),,,,,,integer (todo NA),32177,0,,,integer (cantidad entera),100% NA: pregunta solo para centros poblados y rural disperso
y_gananciaIndep_m,,Curso (construida por M. Fernández),,,,,,double,27273,237,84.0,70000000.0,double (cantidad),
y_gananciaIndep_m_hu,,Curso (construida por M. Fernández),,,,,,double,27273,698,0.47152778506279,340277.78125,double (cantidad),
y_total_m,,Curso (construida por M. Fernández),,,,,,double,17309,3772,84.0,70000000.0,double (cantidad),
y_total_m_ha,,Curso (construida por M. Fernández),,,,,,double,17309,5441,0.47152778506279,350583.34375,double (cantidad),
